id,node_type,leiden_comm
867dfc021bc3c94dbb5b4c3cba158a2a96e8ea73,reference,30
134b65656d5e061c8c98332227503c407592aed6,reference,7
6f41c9b0b22297f9071c7d0509ac05da7c8a6e10,reference,16
4d16457cded23bce6eaa91cd17aefd22af2279f0,reference,9
0b077c9577f4297dcf3da835e253d21965bbc6e0,reference,27
ddac8e4f15d59a17b3f4ce5fde3b15d7f2ca547c,reference,19
b636795b33eb155670953c472e5b07d7e1935895,reference,9
46732358e98ce6be0c564ae11f71d556a64b4c35,reference,5
15ef0417570a190241caac0615eabdff11abb4de,reference,3
29537a1ce472bdc30da5ec1e9e2e56240cd49d58,reference,6
95cd83603a0d2b6918a8e34a5637a8f382da96f5,reference,6
e99e88257c01c4690ee5b4388a3b074da7911671,reference,24
efdb6e2691decd4de9b58d3967b5a592a6b0a809,reference,18
b3c87b838d0436fefc839cefe489082055033ffb,reference,19
2587cb7b1c02fde76e3c23c13f1bd40d6a199c57,reference,25
bd7e4ffc46b284d04d9cb79facd178d149917acf,reference,12
2c092ec119ac5a3acfbb6b14895b23a0d942e2ae,reference,7
ac854a011876d06dc3eeb8b03dfc26ad129a7474,reference,13
8e671c6844dfc17103c775d3aa856fbfa8ba10dd,reference,19
964e518d8f93b2d4549e64365ed302f283d7513c,reference,27
430dfdd722baeb92c9c178c6d314f6bc08b17186,reference,31
0339891e995c957e7e51b05131d9778d1c6d303a,reference,27
df08b4b9a66dfa849dc8ac7c8fcf2900467f749e,reference,13
b0ce75fca254a50e5b6e1eca757a67706d2f91db,reference,5
cd18800a0fe0b668a1cc19f2ec95b5003d0a5035,reference,15
3db5479118e2aa4130c4685a08e737a4857deb34,reference,10
be0fbb810583930c071d0b9b2c5187fe260783f5,reference,10
72e7ad3903655179bca5d2c44cd524490c003919,reference,19
53b0be906649376510df098e177b5c395022443b,reference,18
01e81cc79e5f4e0f056e5df2562a6c5ed81cdfd4,reference,10
arXiv:2310.02457,reference,17
9c49a2178134517701befea536400c01a1cdefe7,reference,17
ac3cdb50606f7770eef8e4cd951840a4f71287a0,reference,28
c6f913e4baa7f2c85363c0625c87003ad3b3a14c,reference,17
d40cbedadab27963a835d0eb2d6dcdb69baa64ad,reference,33
3b508a48a4b48d2a16dd790a2a04ffcf51c0b4a6,reference,1
961dad067e4481ed4a3dbe9a7630bdb884952171,reference,13
962dc29fdc3fbdc5930a10aba114050b82fe5a3e,reference,3
3004ffec00059d9c268aa396fff1ac93ec17157d,reference,10
dbb5d460fcd3a65d9024b481ec886bb34a8d7e51,reference,7
3a6c423cc0f687fc43a671e55dce06f681df7476,reference,10
0407b605b8f55db72e2545586bfe8e946b691b70,reference,13
199c0184b5fe071262b07b273bba8797008e4e63,reference,19
1ccd73d95b5e23279929866bc15ec2983f9fa700,reference,0
84e826ecd98015be07f8457df41dbfa2c4046a09,reference,18
a8d02ff6d075c3cc48f0b97801cc52765c8f9ac9,reference,2
bdb68c5e2369633b20e733774ac66eb4600c34d1,reference,1
395de0bd3837fdf4b4b5e5f04835bcc69c279481,reference,27
3ac5aa6ac59253611ef3cb72a95cbe21ef5dda1b,reference,6
c4cb3f7056f1216c1ddfbe4b9e55cbc07a1e43b9,reference,31
06269ee4223f02ac8ffbe40d69efe6e5a8cba8c1,reference,13
4597f713b8ee84f9a135969e54a6490f1772c054,reference,11
8f7297454d7f44365b9bcda5ebb9439a43daf5e6,reference,30
fddbcabe0fc9be0684855ae3dd059fb525a69e5b,reference,6
663dc434fabc1cf1d3e85fff3f7ddcd313035d18,reference,30
a091bf215c716a146140f81c751712db628c8e20,reference,2
b62d63580b81a2cbb20c3c1593dd62d118e4cb07,reference,28
a3452276ada37727d0008dad8ca7c27bbbee6984,reference,23
3bbf541c2a3ce0ffaed3703cd486f0e1b2febb27,reference,5
c4bb7bc7514f276a0a95efa0f00da623159bca08,reference,32
0f733817e82026f7c29909a51cb4df7d2685f0e7,reference,28
683aace409a3b907ebc3d2328a5d8f2292dc8514,reference,20
1d19708290ef3cc3f43c2c95b07acdd4f52f5cda,reference,32
2b6291eb76e2ff885238e94704bb795046d7d530,reference,7
be8db99310602d66bba64bcf41a572c45816fbfc,reference,5
d7f55400fd032d182d465eee91581d5ab845a95d,reference,9
7e8453fa32708b2690178c3a7a6618aba20928af,reference,17
f4f154892800008894ebbf57add31fcaac4f27ca,reference,20
bdb4208bdb8b517f5d9a19ce218967782fb4b56c,reference,21
a230273e0f9f43c3fefb11b191b4e23ae21aec3e,reference,5
bfc9fabedf93723dfc6bc07a8bc28819ccffe080,reference,12
b62cff37858b0983e9cfc5e898486e48e3a7832e,reference,13
3466f6055858615dd3931c8321de7f528d54b2e3,reference,27
caa02aa0a134e7d5063ba0f13a17b5255e3f57e4,reference,10
9ad258de58ac237c115fbfa0ee52650ba7a0bef2,reference,9
c375e121926db9551f224ff235018ea38bb159b7,reference,11
f5b077e01f6e3d91f58cb4ed7158fa61eec5a1f8,reference,12
7627c830f8a3162ef8ba46251655ef50c57a5cc4,reference,14
42593253b6a22e530fb36ac7634434caf8bc4dc8,reference,27
ed271778dd276bbccd8f4bf2e9e2c786bd1d134a,reference,10
5861b2c22f1e9c00f29f1e20c4993b21ab75ec0a,reference,13
21d65cde77baa56fbc4e9c1b377cb2237950699f,reference,12
016351c8f77ab5803863ac15f4e3107a8bc80423,reference,10
89d025804988944d6fa4e95f49bff011b33d1418,reference,12
3e8f037d1b2c893f4df37deda1da3dcc577a8bac,reference,9
36c95e3ef362742a5c1844257e8b79d3251a781e,reference,0
2a7ae3e98357569c41424dacd60c62d3df78a0db,reference,21
38e3a5747bce4275e7830cca5baeb208349c3086,reference,5
942130a875ccfe55a4c60c27c636f693e25cb13d,reference,34
37acbbbcfe9d8eb89e5b01da28dac6d44c3903ee,reference,22
7c747f7fe9e1e811eee4430febb7787384bf35e8,reference,0
2ff3b65e893afde3d98d0870129b1c7999fc1a43,reference,12
4a57fb370b83ac3d1a886a3fae479e45e5fe156d,reference,20
e8bd4fe315695594dff465235e7c9987718c4483,reference,8
93df98bf527e97f3876dfefb8b167a221b37e638,reference,18
7362b81b808ebafd403eaec6f60a124340d68d71,reference,5
687bac2d3320083eb4530bf18bb8f8f721477600,reference,22
32cdd9d0d4d462a2ca781f0c7cdbc053f6a07938,reference,23
e1cc616cba2b51bbbfa0bc9d0d88f9482649b798,reference,7
0479547a69ffa48fe106137eba8358a9d8a2cc48,reference,5
45094ab1ae50337033514e48213397d35b821e43,reference,18
b50d19c5c298f6562c3b3c6c3822a351bdc89260,reference,5
39e0c341351f8f4a39ac890b96217c7f4bde5369,reference,9
63fa9d5a24af3a897d5a007a989036ceab73bb3d,reference,19
cf852c18387cfcdcb3cb3bb5ba6a549b35766c33,reference,20
5b6c582d51266be9aa7e32bfdc20891e5231eca4,reference,17
4e263b4cd6998bff2501dd143e685f413179b12d,reference,29
2d4ca959cb3d544473cb661cefe76daabebcdff3,reference,0
76a3f4a79ae9a00db2f2b5f6877021d8deb96ada,reference,3
14cb3ed64cbdd11444c98c97be3ecef7394e8a56,reference,8
f19db28a8fdcdc2eaa44c777c40714e2622bf0ff,reference,10
8bab0efb18280c5fe105c24168a9185932a1ed09,reference,5
f8e79ac0ea341056ef20f2616628b3e964764cfd,reference,10
6beecdef1a4fdffea7b588f80db8ee3393a21479,reference,9
72dfa31005b07554a3f64aa1c002b627ad61cf2a,reference,13
9abe0ecc621fc9c6167b493e4b7dd2eaff1b32f0,reference,18
f9d01f8ab34bb707afdee382350f7ce23534c2d9,reference,7
5aab57cc0530560d82c74c055f664280619d7e81,reference,4
e9cc9a9f7b97c26612dad35068481b974f81cd27,reference,12
d5e9532d12a26124f019de5f1a1d6a9a6eab3d03,reference,5
32fe1dcbb5a71c73929e474bebed3e6195966e10,reference,15
d0e1a78bd77c9b6179bc773f0b7bada8df3ce39f,reference,10
e783d082b8429dba3cc87f54c389a2b708164eb0,reference,13
00208d1408204f905558febb8bd25bd6f5233fe7,reference,10
437cfee2a7f7beadf09ad712f71b3265740e44a0,reference,10
